source_url,target_url,category,similarity_score,match_stage,failed_at_stage
https://www.msd-animal-health.es/2022/02/17/msd-animal-health-vuelve-a-realizar-reuniones-presenciales-para-presentar-su-nueva-vacuna-intradermica-porcilis-lawsonia-id/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/03/28/msd-animal-health-es-reconocida-con-el-premio-excelencia-figan-2025-en-la-categoria-de-mejoras-tecnologicas-por-su-sistema-idal-leeo,Article,0.5858,semantic_matched,
https://www.msd-animal-health.es/2024/04/30/msd-animal-health-presenta-su-innovadora-herramienta-de-identificacion-y-monitoriza-leeo-en-la-i-jornada-tecnica-de-porcino-iberico/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/03/28/msd-animal-health-es-reconocida-con-el-premio-excelencia-figan-2025-en-la-categoria-de-mejoras-tecnologicas-por-su-sistema-idal-leeo,Article,0.5578,semantic_matched,
https://www.msd-animal-health.es/es_rubu_gracias_contacto/,https://www.msd-animal-health.es/contacto,Generic Content Page,0.5388,semantic_matched,
https://www.msd-animal-health.es/2017/09/30/seoc-2017-uso-responsable-de-antimicrobianos-en-ovino/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/06/24/finaliza-la-iii-edicion-del-campus-porcino-el-programa-de-referencia-para-los-jovenes-veterinarios-del-sector,Article,0.5399,semantic_matched,
https://www.msd-animal-health.es/2018/05/09/esphm-porfolio-porcino/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/28/msd-animal-health-gana-el-premio-sp-global-2024-por-el-mejor-nuevo-producto-para-animales-de-compania-por-la-formulacion-bravecto-inyectable,Article,0.5595,semantic_matched,
https://www.msd-animal-health.es/2020/12/17/msd-animal-health-ha-participado-en-las-jornadas-de-red-acoge/,https://www.msd-animal-health.es/sobre-nosotros,Section Landing Page,0.5147,semantic_matched,
https://www.msd-animal-health.es/2022/04/12/creamos-equipos-de-ciencia-para-generar-conocimiento-que-ayuda-a-preservar-la-biodiversidad-y-las-especies-amenazadas/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/26/msd-animal-health-presento-su-campana-better-with-vets-en-iberzoopropet-2025-y-el-42-congreso-annual-de-amvac,Article,0.5098,semantic_matched,
https://es.sensehub.com/testimonios-articulos/,https://www.msd-animal-health.es/hub/sensehub/testimonios-articulos,Generic Listing Page,0.5733,semantic_matched,
https://www.msd-animal-health.es/2022/09/01/msd-animal-health-dara-a-conocer-en-el-world-buiatrics-congress-de-madrid-sus-principales-proyectos-en-los-que-esta-trabajando-enfocados-en-prevencion-y-monitorizacion/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/26/msd-animal-health-presento-su-campana-better-with-vets-en-iberzoopropet-2025-y-el-42-congreso-annual-de-amvac,Article,0.5648,semantic_matched,
https://www.lawsonia.net/the-disease/clinical-signs-and-forms-of-ileitis/,https://www.msd-animal-health.es/enfermedades/ileitis%E2%80%8B,Condition Page,0.6553,semantic_matched,
https://www.msd-animal-health.es/2023/11/24/la-gama-de-productos-idal-msd-animal-health-para-lavacunacion-intradermica-y-sin-aguja-protagonista-en-elanavepor-2023/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/03/28/msd-animal-health-es-reconocida-con-el-premio-excelencia-figan-2025-en-la-categoria-de-mejoras-tecnologicas-por-su-sistema-idal-leeo,Article,0.6391,semantic_matched,
https://www.msd-animal-health.es/2023/12/18/marcelo-artacho-nuevo-director-de-animales-de-compania-para-msd-animal-health/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/09/03/msd-animal-health-nombra-a-sandra-castillo-como-directora-del-equipo-de-animales-de-compania-en-espana-para-continuar-impulsando-la-innovacion-y-los-recientes-lanzamientos,Article,0.6558,semantic_matched,
https://www.msd-animal-health.es/2022/06/02/msd-lidera-la-comunicacion-y-colaboracion-con-enfoque-one-health-entre-los-profesionales-sanitarios/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/26/msd-animal-health-presento-su-campana-better-with-vets-en-iberzoopropet-2025-y-el-42-congreso-annual-de-amvac,Article,0.6080,semantic_matched,
https://www.msd-animal-health.es/2018/06/01/reto-mojate-por-la-leishmaniosis/,https://www.msd-animal-health.es/tutores-de-mascotas/solutions/scalibor,Product Hub,0.5847,semantic_matched,
https://www.msd-animal-health.es/2018/02/15/formacion-reproduccion-porcino/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/06/24/finaliza-la-iii-edicion-del-campus-porcino-el-programa-de-referencia-para-los-jovenes-veterinarios-del-sector,Article,0.5423,semantic_matched,
https://es.mypet.com/seguridad/casa-prueba-mascotas/peligros-domesticos-para-gatos/,https://www.msd-animal-health.es/tutores-de-mascotas/conocimiento/seguridad,Generic Listing Page,0.5113,semantic_matched,
https://www.msd-animal-health.es/2024/04/22/msd-animal-health-presentara-su-innovadora-solucion-frente-a-la-criptosporidiosis-en-la-celebracion-del-xxvi-congreso-anembe-en-cordoba/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/28/msd-animal-health-gana-el-premio-sp-global-2024-por-el-mejor-nuevo-producto-para-animales-de-compania-por-la-formulacion-bravecto-inyectable,Article,0.5171,semantic_matched,
https://www.msd-animal-health.es/2019/02/08/fve-msd-animal-health-becan-estudiantes-de-veterinaria/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/26/msd-animal-health-presento-su-campana-better-with-vets-en-iberzoopropet-2025-y-el-42-congreso-annual-de-amvac,Article,0.5475,semantic_matched,
https://www.lawsonia.net/the-disease/prevention-of-ileitis/,https://www.msd-animal-health.es/enfermedades/ileitis%E2%80%8B,Condition Page,0.5864,semantic_matched,
https://www.msd-animal-health.es/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/26/msd-animal-health-presento-su-campana-better-with-vets-en-iberzoopropet-2025-y-el-42-congreso-annual-de-amvac,Article,0.6446,semantic_matched,
https://www.expertosenreposicion.com/bioseguridad/,https://www.msd-animal-health.es/profesionales-de-la-salud-animal/acuicultura,Species Landing Pages,0.5186,semantic_matched,
https://www.msd-animal-health.es/es-ca-formulario-eventos-abiertos/,https://www.msd-animal-health.es/profesionales-de-la-salud-animal/conocimiento-y-eventos/eventos,Generic Listing Page,0.5058,semantic_matched,
https://www.msd-animal-health.es/2025/02/28/msd-animal-health-gana-el-premio-sp-global-2024-por-el-mejor-nuevo-producto-para-animales-de-compania-por-la-formulacion-bravecto-inyectable/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/28/msd-animal-health-gana-el-premio-sp-global-2024-por-el-mejor-nuevo-producto-para-animales-de-compania-por-la-formulacion-bravecto-inyectable,Article,0.6864,semantic_matched,
https://www.msd-animal-health.es/2020/06/18/las-redes-sociales-como-altavoz-de-informacion-veraz-y-contrastada-por-parte-del-sector-veterinario/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/07/17/msd-animal-health-continua-impulsando-su-campana-better-with-vets-la-salud-de-las-mascotas-mejor-con-los-veterinarios-mediante-sus-charlas-vettalks-voces-que-inspiran,Article,0.6150,semantic_matched,
https://www.msd-animal-health.es/productos-bovino/,https://www.msd-animal-health.es/hub/bovilis,Product Hub,0.6666,semantic_matched,
https://www.msd-animal-health.es/2020/07/07/contagio-de-salmonelosis-en-espana/,https://www.msd-animal-health.es/enfermedades/salmonella,Condition Page,0.5897,semantic_matched,
https://www.msd-animal-health.es/2018/07/26/lucha-contra-leptospira/,https://www.msd-animal-health.es/enfermedades/leptospirosis%E2%80%8B,Condition Page,0.5447,semantic_matched,
https://www.msd-animal-health.es/productos-perro/,https://www.msd-animal-health.es/hub/nobivac,Product Hub,0.6060,semantic_matched,
https://www.msd-animal-health.es/2022/06/14/el-investigador-toni-dalmau-destaca-la-funcion-primordial-del-veterinario-en-el-bienestar-porque-es-la-persona-que-se-ha-formado-para-entender-al-animal/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/07/17/msd-animal-health-continua-impulsando-su-campana-better-with-vets-la-salud-de-las-mascotas-mejor-con-los-veterinarios-mediante-sus-charlas-vettalks-voces-que-inspiran,Article,0.5085,semantic_matched,
https://www.repropig-spain.com/nuevo-formato-podcast-en-la-revista-digital-de-repropig/2022/06/28/noticias/,https://www.msd-animal-health.es/profesionales-de-la-salud-animal/porcino,Species Landing Pages,0.5248,semantic_matched,
https://www.msd-animal-health.es/2022/05/06/msd-animal-health-lanza-porcilis-strepsuis-una-nueva-vacuna-indicada-frente-a-la-infeccion-por-el-serotipo-2-de-streptococcus-suis%ef%bf%bc/,https://www.msd-animal-health.es/enfermedades/porcillis_prrs,Product Page,0.5849,semantic_matched,
https://www.expertosenreposicion.com/programa-121/plan-vacunal/,https://www.msd-animal-health.es/c/vacunalavaca,Campaign Page,0.5007,semantic_matched,
https://www.msd-animal-health.es/productos-acuicultura/,https://www.msd-animal-health.es/profesionales-de-la-salud-animal/acuicultura,Species Landing Pages,0.6291,semantic_matched,
https://www.msd-animal-health.es/campus-porcino-2025-2026-modulo-1/,https://www.msd-animal-health.es/enfermedades/parvovirosis,Condition Page,0.6047,semantic_matched,
https://www.msd-animal-health.es/2023/06/26/msd-animal-health-finaliza-la-primera-edicion-del-campus-porcino-una-formacion-para-reforzar-el-conocimiento-tecnico-y-la-eficiencia-en-las-granjas-entre-los-jovenes-veterinarios/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/06/24/finaliza-la-iii-edicion-del-campus-porcino-el-programa-de-referencia-para-los-jovenes-veterinarios-del-sector,Article,0.6717,semantic_matched,
https://www.scalibor.es/aviso-legal/,https://www.msd-animal-health.es/terminos-y-condiciones,Legal Page,0.6023,semantic_matched,
https://es.sensehub.com/2024/12/01/desde-el-minuto-uno-que-ves-que-funciona-perfectamente-te-preguntas-por-que-no-lo-habrias-puesto-antes/,https://www.msd-animal-health.es/hub/sensehub/dairy,Product Feature Page,0.6010,semantic_matched,
https://www.msd-animal-health.es/2021/09/22/20-anos-de-idal-con-msd-animal-health/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/03/28/msd-animal-health-es-reconocida-con-el-premio-excelencia-figan-2025-en-la-categoria-de-mejoras-tecnologicas-por-su-sistema-idal-leeo,Article,0.6218,semantic_matched,
https://www.repropig-spain.com/uso-practico-de-las-hormonas-en-reproduccion-porcina-sara-crespo/2022/06/28/podcast/,https://www.msd-animal-health.es/profesionales-de-la-salud-animal/porcino,Species Landing Pages,0.5271,semantic_matched,
https://www.msd-animal-health.es/2022/11/08/msd-animal-health-protagonista-en-el-world-buiatrics-congress-2022-gracias-a-la-presentacion-de-sus-innovadoras-herramientas-en-monitorizacion-para-el-ganado-vacuno-de-leche-y-carne/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/02/26/msd-animal-health-presento-su-campana-better-with-vets-en-iberzoopropet-2025-y-el-42-congreso-annual-de-amvac,Article,0.5734,semantic_matched,
https://www.msd-animal-health.es/br_lp5_statistics-2/,https://www.msd-animal-health.es/tutores-de-mascotas/solutions/scalibor/incidence,Generic Content Page,0.5418,semantic_matched,
https://www.nobivac.es/crea-tu-protocolo/contact/,https://www.msd-animal-health.es/contacto,Generic Content Page,0.6664,semantic_matched,
https://www.msd-animal-health.es/2019/03/20/comunidad-animal-health/,https://www.msd-animal-health.es/,Homepage,0.6268,semantic_matched,
https://www.msd-animal-health.es/2022/12/20/msd-animal-health-lleva-a-las-xix-jornadas-tecnicas-de-seragro-su-tecnologia-de-monitorizacion-para-el-vacuno-de-leche/,https://www.msd-animal-health.es/hub/sensehub/milk-monitoring,Product Feature Page,0.5798,semantic_matched,
https://www.msd-animal-health.es/2023/06/21/msd-animal-health-destaca-en-el-xxv-foro-nacional-de-ovino-de-valladolid-la-importancia-de-la-vacunacion-para-la-prevencion-del-complejo-respiratorio-ovino/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/03/28/msd-animal-health-es-reconocida-con-el-premio-excelencia-figan-2025-en-la-categoria-de-mejoras-tecnologicas-por-su-sistema-idal-leeo,Article,0.5229,semantic_matched,
https://www.msd-animal-health.es/2018/03/15/curso-practico-reproduccion-ovino/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/06/24/finaliza-la-iii-edicion-del-campus-porcino-el-programa-de-referencia-para-los-jovenes-veterinarios-del-sector,Article,0.5153,semantic_matched,
https://www.msd-animal-health.es/prevalence/,https://www.msd-animal-health.es/enfermedades/pneumonia,Condition Page,0.5398,semantic_matched,
https://www.msd-animal-health.es/2022/11/04/msd-animal-health-patrocinador-de-la-feria-ganadera-industrial-y-agroalimentaria-sepor-2022/,https://www.msd-animal-health.es/productos,Generic Listing Page,0.5199,semantic_matched,
https://www.msd-animal-health.es/2022/04/18/msd-animal-health-finaliza-sus-jornadas-tecnicas-presenciales-con-la-presentacion-de-porcilis-lawsonia-id-en-murcia/,https://www.msd-animal-health.es/sobre-nosotros/noticias-y-eventos/2025/06/24/finaliza-la-iii-edicion-del-campus-porcino-el-programa-de-referencia-para-los-jovenes-veterinarios-del-sector,Article,0.5614,semantic_matched,
https://www.scalibor.es/sintomas-de-la-leishmaniosis-en-perros-2/,https://www.msd-animal-health.es/tutores-de-mascotas/solutions/scalibor/canine-leishmanisas,Condition Page,0.5761,semantic_matched,
